"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-01",,,"0.00","0.0","0.0",,"79","59",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-02",,,"0.00","0.0","0.0",,"84","66",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-03",,,"0.00","0.0","0.0",,"84","69",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-04",,,"0.11","0.0","0.0",,"85","65",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-05",,,"0.00","0.0","0.0",,"85","68","72",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-06",,,"0.12","0.0","0.0",,"83","62","67",,,"    1",,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-07",,,"0.00","0.0","0.0",,"82","66","70",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-08",,,"0.00","0.0","0.0",,"83","55","61",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-09",,,"0.00","0.0","0.0",,"75","54",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-10",,,"0.00","0.0","0.0",,"77","62",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-11",,,"0.81","0.0","0.0",,"70","63",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-12",,,"0.00","0.0","0.0",,"79","62","66",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-13",,,"0.00","0.0","0.0",,"77","59","62",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-14",,,"0.63","0.0","0.0",,"80","60","61",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-15",,,"0.00","0.0","0.0",,"74","58","64",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-16",,,"0.58","0.0","0.0",,"78","62",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-17",,,"0.00","0.0","0.0",,"77","58",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-18",,,"3.10","0.0","0.0",,"81","62",,,,"    1",,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-19",,,"0.00","0.0","0.0",,"72","51","60",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-20",,,"0.00","0.0","0.0",,"79","60","67",,,"    1",,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-21",,,"0.68","0.0","0.0",,"80","55","60",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-22",,,"0.00","0.0","0.0",,"74","54",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-23",,,"0.00","0.0","0.0",,"71","53",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-24",,,"0.00","0.0","0.0",,"75","58",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-25",,,"0.00","0.0","0.0",,"73","60","61",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-26",,,"0.04","0.0","0.0",,"74","61","62",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-27",,,"0.76","0.0","0.0",,"70","56","59",,,"    1",,"    1",,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-28",,,"0.04","0.0","0.0",,"70","54","56",,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-29",,,"0.01","0.0","0.0",,"70","55",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-30",,,"0.00","0.0","0.0",,"72","50",,,,,,,,,
"USC00218450","UNIVERSITY OF MN ST. PAUL, MN US","2019-08-31",,,"0.00","0.0","0.0",,"72","54",,,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-01",,,"0.00","0.0","0.0",,"85","60","68",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-02",,,"0.00","0.0","0.0",,"83","65","70",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-03",,,"0.00","0.0","0.0",,"85","69","70",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-04",,,"0.00","0.0","0.0",,"85","66","70",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-05",,,"0.68","0.0","0.0",,"84","68","68",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-06",,,"0.00","0.0","0.0",,"84","62","71",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-07",,,"0.00","0.0","0.0",,"84","66","66",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-08",,,"0.00","0.0","0.0",,"77","57","60",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-09",,,"0.00","0.0","0.0",,"77","56","67",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-10",,,"0.72","0.0","0.0",,"70","64","65",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-11",,,"0.00","0.0","0.0",,"79","64","65",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-12",,,"0.00","0.0","0.0",,"77","64","69",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-13",,,"0.94","0.0","0.0",,"80","61","65",,,"    1",,,,,
"USC00215838","NEW HOPE, MN US","2019-08-14",,,"0.00","0.0","0.0",,"75","60","65",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-15",,,"0.00","0.0","0.0",,"79","59","64",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-16",,,"0.41","0.0","0.0",,"79","61","66",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-17",,,"0.00","0.0","0.0",,"82","61","66",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-18",,,"2.00","0.0","0.0",,"74","57","57",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-19",,,"0.00","0.0","0.0",,"81","52","65",,,,,,,,
"USC00215838","NEW HOPE, MN US","2019-08-20",,,"0.68","0.0","0.0",,"81","64","68",,,"    1",,,,,
