,Day,Time,Temperature,Wind Speed,Dew Point,Precipitation
0,2019-04-22,11:53 PM,49,13,40,0.0
1,2019-04-22,12:53 AM,49,13,40,0.0
2,2019-04-22,1:53 AM,48,14,40,0.0
3,2019-04-22,2:53 AM,46,14,41,0.0
4,2019-04-22,3:53 AM,46,13,41,0.0
5,2019-04-22,4:53 AM,46,12,41,0.0
6,2019-04-22,5:29 AM,47,8,42,0.0
7,2019-04-22,5:42 AM,46,23,42,0.0
8,2019-04-22,5:45 AM,46,22,42,0.0
9,2019-04-22,5:53 AM,45,21,42,0.1
10,2019-04-22,6:02 AM,45,17,43,0.0
11,2019-04-22,6:09 AM,45,14,43,0.0
12,2019-04-22,6:31 AM,46,0,43,0.0
13,2019-04-22,6:48 AM,46,9,43,0.0
14,2019-04-22,6:53 AM,46,13,43,0.0
15,2019-04-22,6:59 AM,46,13,43,0.0
16,2019-04-22,7:06 AM,46,10,43,0.0
17,2019-04-22,7:32 AM,46,14,43,0.1
18,2019-04-22,7:40 AM,46,14,43,0.1
19,2019-04-22,7:53 AM,46,13,43,0.1
20,2019-04-22,7:57 AM,46,16,43,0.0
21,2019-04-22,8:14 AM,47,12,43,0.0
22,2019-04-22,8:24 AM,47,8,43,0.0
23,2019-04-22,8:31 AM,47,12,43,0.0
24,2019-04-22,8:44 AM,47,8,43,0.1
25,2019-04-22,8:53 AM,46,8,43,0.1
26,2019-04-22,9:04 AM,46,14,43,0.0
27,2019-04-22,9:11 AM,46,12,43,0.0
28,2019-04-22,9:13 AM,47,10,43,0.0
29,2019-04-22,9:23 AM,46,3,43,0.0
30,2019-04-22,9:53 AM,47,16,43,0.0
31,2019-04-22,10:53 AM,46,22,43,0.0
32,2019-04-22,11:02 AM,46,17,43,0.0
33,2019-04-22,11:14 AM,46,16,43,0.0
34,2019-04-22,11:53 AM,47,16,43,0.0
35,2019-04-22,12:53 PM,47,12,42,0.0
36,2019-04-22,1:53 PM,46,16,42,0.0
37,2019-04-22,2:53 PM,45,12,42,0.0
38,2019-04-22,3:07 PM,45,15,42,0.0
39,2019-04-22,3:36 PM,45,15,42,0.0
40,2019-04-22,3:53 PM,46,15,42,0.0
41,2019-04-22,4:05 PM,45,15,42,0.0
42,2019-04-22,4:53 PM,46,18,42,0.0
43,2019-04-22,5:53 PM,46,17,42,0.0
44,2019-04-22,6:38 PM,45,16,41,0.0
45,2019-04-22,6:53 PM,45,15,41,0.0
46,2019-04-22,7:53 PM,45,16,40,0.0
47,2019-04-22,8:25 PM,45,16,40,0.0
48,2019-04-22,8:53 PM,44,13,40,0.0
49,2019-04-22,8:59 PM,44,16,40,0.0
50,2019-04-22,9:21 PM,44,16,39,0.0
51,2019-04-22,9:53 PM,43,12,39,0.0
52,2019-04-22,10:53 PM,43,9,37,0.0
53,2019-04-23,11:53 PM,40,7,37,0.0
54,2019-04-23,12:53 AM,38,6,36,0.0
55,2019-04-23,1:53 AM,39,9,36,0.0
56,2019-04-23,2:53 AM,37,6,35,0.0
57,2019-04-23,3:53 AM,37,6,34,0.0
58,2019-04-23,4:53 AM,36,3,33,0.0
59,2019-04-23,5:53 AM,37,6,33,0.0
60,2019-04-23,6:53 AM,40,5,34,0.0
